Tipo;Tema;Variável;Descrição
Domicílio;Características do Domicílio - Parte 1;V00029;Domicílios Particulares Improvisados Ocupados, Com 3 moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00030;Domicílios Particulares Improvisados Ocupados, Com 4 moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00031;Domicílios Particulares Improvisados Ocupados, Com 5 moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00032;Domicílios Particulares Improvisados Ocupados, Com 6 moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00033;Domicílios Particulares Improvisados Ocupados, Com 7 moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00034;Domicílios Particulares Improvisados Ocupados, Com 8 moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00035;Domicílios Particulares Improvisados Ocupados, Com 9 moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00036;Domicílios Particulares Improvisados Ocupados, Com 10 ou mais moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00037;Domicílios Coletivos Com Morador, Com 1 morador no domicílio
Domicílio;Características do Domicílio - Parte 1;V00038;Domicílios Coletivos Com Morador, Com 2 moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00039;Domicílios Coletivos Com Morador, Com 3 moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00040;Domicílios Coletivos Com Morador, Com 4 moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00041;Domicílios Coletivos Com Morador, Com 5 moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00042;Domicílios Coletivos Com Morador, Com 6 moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00043;Domicílios Coletivos Com Morador, Com 7 moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00044;Domicílios Coletivos Com Morador, Com 8 moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00045;Domicílios Coletivos Com Morador, Com 9 moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00046;Domicílios Coletivos Com Morador, Com 10 ou mais moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00047;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa
Domicílio;Características do Domicílio - Parte 1;V00048;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio
Domicílio;Características do Domicílio - Parte 1;V00049;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento
Domicílio;Características do Domicílio - Parte 1;V00050;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é habitação em casa de cômodos ou cortiço
Domicílio;Características do Domicílio - Parte 1;V00051;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é habitação indígena sem paredes ou maloca
Domicílio;Características do Domicílio - Parte 1;V00052;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é estrutura residencial permanente degradada ou inacabada
Domicílio;Características do Domicílio - Parte 1;V00053;Domicílios Particulares Improvisados Ocupados, Tipo de espécie é tenda ou barraca de lona, plástico ou tecido
Domicílio;Características do Domicílio - Parte 1;V00054;Domicílios Particulares Improvisados Ocupados, Tipo de espécie é dentro de estabelecimento em funcionamento
Domicílio;Características do Domicílio - Parte 1;V00055;Domicílios Particulares Improvisados Ocupados, Tipo de espécie é abrigo natural e outras estruturas improvisadas
Domicílio;Características do Domicílio - Parte 1;V00056;Domicílios Particulares Improvisados Ocupados, Tipo de espécie é estrutura improvisada em logradouro público, exceto tenda ou barraca
Domicílio;Características do Domicílio - Parte 1;V00057;Domicílios Particulares Improvisados Ocupados, Tipo de espécie é estrutura não residencial permanente degradada ou inacabada
Domicílio;Características do Domicílio - Parte 1;V00058;Domicílios Particulares Improvisados Ocupados, Tipo de espécie é veículo (carro, caminhão, trailer, barco etc)
Domicílio;Características do Domicílio - Parte 1;V00059;Domicílios Coletivos Com Morador, Tipo de espécie é asilo ou outra instituição de longa permanência para idosos
Domicílio;Características do Domicílio - Parte 1;V00060;Domicílios Coletivos Com Morador, Tipo de espécie é hotel ou pensão
Domicílio;Características do Domicílio - Parte 1;V00061;Domicílios Coletivos Com Morador, Tipo de espécie é alojamento
Domicílio;Características do Domicílio - Parte 1;V00062;Domicílios Coletivos Com Morador, Tipo de espécie é penitenciária, centro de detenção e similar
Domicílio;Características do Domicílio - Parte 1;V00063;Domicílios Coletivos Com Morador, Tipo de espécie é outros domicílios coletivos com morador
Domicílio;Características do Domicílio - Parte 1;V00064;Domicílios Coletivos Com Morador, Tipo de espécie é abrigo, albergue ou casa de passagem para população em situação de rua
Domicílio;Características do Domicílio - Parte 1;V00065;Domicílios Coletivos Com Morador, Tipo de espécie é abrigo, casas de passagem ou república assistencial para outros grupos vulneráveis
Domicílio;Características do Domicílio - Parte 1;V00066;Domicílios Coletivos Com Morador, Tipo de espécie é clínica psiquiátrica, comunidade terapêutica e similar
Domicílio;Características do Domicílio - Parte 1;V00067;Domicílios Coletivos Com Morador, Tipo de espécie é orfanato e similar
Domicílio;Características do Domicílio - Parte 1;V00068;Domicílios Coletivos Com Morador, Tipo de espécie é unidade de internação de menores
Domicílio;Características do Domicílio - Parte 1;V00069;Domicílios Coletivos Com Morador, Tipo de espécie é quartel ou outra organização militar
Domicílio;Características do Domicílio - Parte 1;V00070;Domicílios Particulares Permanentes Ocupados, Quantidade de moradores
Domicílio;Características do Domicílio - Parte 1;V00071;Domicílios Particulares Permanentes Ocupados, Quantidade de crianças de zero a nove anos de idade
Domicílio;Características do Domicílio - Parte 1;V00072;Domicílios Particulares Permanentes Ocupados, Pessoas de sexo masculino no domicílio
Domicílio;Características do Domicílio - Parte 1;V00073;Domicílios Particulares Permanentes Ocupados, Pessoas de sexo feminino no domicílio
Domicílio;Características do Domicílio - Parte 1;V00074;Domicílios Particulares Permanentes Ocupados, Com 1 morador no domicílio
Domicílio;Características do Domicílio - Parte 1;V00075;Domicílios Particulares Permanentes Ocupados, Com 2 moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00076;Domicílios Particulares Permanentes Ocupados, Com 3 moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00077;Domicílios Particulares Permanentes Ocupados, Com 4 moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00078;Domicílios Particulares Permanentes Ocupados, Com 5 moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00079;Domicílios Particulares Permanentes Ocupados, Com 6 moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00080;Domicílios Particulares Permanentes Ocupados, Com 7 moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00081;Domicílios Particulares Permanentes Ocupados, Com 8 moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00082;Domicílios Particulares Permanentes Ocupados, Com 9 moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00083;Domicílios Particulares Permanentes Ocupados, Com 10 ou mais moradores no domicílio
Domicílio;Características do Domicílio - Parte 1;V00084;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Quantidade de moradores
Domicílio;Características do Domicílio - Parte 1;V00085;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Quantidade de moradores
Domicílio;Características do Domicílio - Parte 1;V00086;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Quantidade de moradores
Domicílio;Características do Domicílio - Parte 1;V00087;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Quantidade de crianças de zero a nove anos de idade
Domicílio;Características do Domicílio - Parte 1;V00088;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Quantidade de crianças de zero a nove anos de idade
Domicílio;Características do Domicílio - Parte 1;V00089;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Quantidade de crianças de zero a nove anos de idade
Domicílio;Características do Domicílio - Parte 2;V00090;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Cor ou raça da pessoa responsável pelo domicílio é branca
Domicílio;Características do Domicílio - Parte 2;V00091;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Cor ou raça da pessoa responsável pelo domicílio é preta
Domicílio;Características do Domicílio - Parte 2;V00092;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Cor ou raça da pessoa responsável pelo domicílio é amarela
Domicílio;Características do Domicílio - Parte 2;V00093;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Cor ou raça da pessoa responsável pelo domicílio é parda
Domicílio;Características do Domicílio - Parte 2;V00094;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Cor ou raça da pessoa responsável pelo domicílio é indígena
Domicílio;Características do Domicílio - Parte 2;V00095;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Cor ou raça da pessoa responsável pelo domicílio é branca
Domicílio;Características do Domicílio - Parte 2;V00096;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Cor ou raça da pessoa responsável pelo domicílio é preta
Domicílio;Características do Domicílio - Parte 2;V00097;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Cor ou raça da pessoa responsável pelo domicílio é amarela
Domicílio;Características do Domicílio - Parte 2;V00098;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Cor ou raça da pessoa responsável pelo domicílio é parda
Domicílio;Características do Domicílio - Parte 2;V00099;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Cor ou raça da pessoa responsável pelo domicílio é indígena
Domicílio;Características do Domicílio - Parte 2;V00100;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Cor ou raça da pessoa responsável pelo domicílio é branca
Domicílio;Características do Domicílio - Parte 2;V00101;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Cor ou raça da pessoa responsável pelo domicílio é preta
Domicílio;Características do Domicílio - Parte 2;V00102;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Cor ou raça da pessoa responsável pelo domicílio é amarela
Domicílio;Características do Domicílio - Parte 2;V00103;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Cor ou raça da pessoa responsável pelo domicílio é parda
Domicílio;Características do Domicílio - Parte 2;V00104;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Cor ou raça da pessoa responsável pelo domicílio é indígena
Domicílio;Características do Domicílio - Parte 2;V00105;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Sexo da pessoa responsável pelo domicílio é masculino
Domicílio;Características do Domicílio - Parte 2;V00106;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Sexo da pessoa responsável pelo domicílio é feminino
Domicílio;Características do Domicílio - Parte 2;V00107;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Sexo da pessoa responsável pelo domicílio é masculino
Domicílio;Características do Domicílio - Parte 2;V00108;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Sexo da pessoa responsável pelo domicílio é feminino
Domicílio;Características do Domicílio - Parte 2;V00109;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Sexo da pessoa responsável pelo domicílio é masculino
Domicílio;Características do Domicílio - Parte 2;V00110;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Sexo da pessoa responsável pelo domicílio é feminino
Domicílio;Características do Domicílio - Parte 2;V00111;Domicílios Particulares Permanentes Ocupados, Utiliza rede geral de distribuição
Domicílio;Características do Domicílio - Parte 2;V00112;Domicílios Particulares Permanentes Ocupados, Utiliza poço profundo ou artesiano
Domicílio;Características do Domicílio - Parte 2;V00113;Domicílios Particulares Permanentes Ocupados, Utiliza poço raso, freático ou cacimba
Domicílio;Características do Domicílio - Parte 2;V00114;Domicílios Particulares Permanentes Ocupados, Utiliza fonte, nascente ou mina
Domicílio;Características do Domicílio - Parte 2;V00115;Domicílios Particulares Permanentes Ocupados, Utiliza carro-pipa
Domicílio;Características do Domicílio - Parte 2;V00116;Domicílios Particulares Permanentes Ocupados, Utiliza água da chuva armazenada
Domicílio;Características do Domicílio - Parte 2;V00117;Domicílios Particulares Permanentes Ocupados, Utiliza rios, açudes, córregos, lagos e igarapés
Domicílio;Características do Domicílio - Parte 2;V00118;Domicílios Particulares Permanentes Ocupados, Utiliza outra forma de abastecimento de água
Domicílio;Características do Domicílio - Parte 2;V00119;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Utiliza rede geral de distribuição
Domicílio;Características do Domicílio - Parte 2;V00120;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Utiliza poço profundo ou artesiano
Domicílio;Características do Domicílio - Parte 2;V00121;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Utiliza poço raso, freático ou cacimba
Domicílio;Características do Domicílio - Parte 2;V00122;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Utiliza fonte, nascente ou mina
Domicílio;Características do Domicílio - Parte 2;V00123;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Utiliza carro-pipa
Domicílio;Características do Domicílio - Parte 2;V00124;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Utiliza água da chuva armazenada
Domicílio;Características do Domicílio - Parte 2;V00125;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Utiliza rios, açudes, córregos, lagos e igarapés
Domicílio;Características do Domicílio - Parte 2;V00126;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa, Utiliza outra forma de abastecimento de água
Domicílio;Características do Domicílio - Parte 2;V00127;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Utiliza rede geral de distribuição
Domicílio;Características do Domicílio - Parte 2;V00128;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Utiliza poço profundo ou artesiano
Domicílio;Características do Domicílio - Parte 2;V00129;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Utiliza poço raso, freático ou cacimba
Domicílio;Características do Domicílio - Parte 2;V00130;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Utiliza fonte, nascente ou mina
Domicílio;Características do Domicílio - Parte 2;V00131;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Utiliza carro-pipa
Domicílio;Características do Domicílio - Parte 2;V00132;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Utiliza água da chuva armazenada
Domicílio;Características do Domicílio - Parte 2;V00133;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Utiliza rios, açudes, córregos, lagos e igarapés
Domicílio;Características do Domicílio - Parte 2;V00134;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é casa de vila ou em condomínio, Utiliza outra forma de abastecimento de água
Domicílio;Características do Domicílio - Parte 2;V00135;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Utiliza rede geral de distribuição
Domicílio;Características do Domicílio - Parte 2;V00136;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Utiliza poço profundo ou artesiano
Domicílio;Características do Domicílio - Parte 2;V00137;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Utiliza poço raso, freático ou cacimba
Domicílio;Características do Domicílio - Parte 2;V00138;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Utiliza fonte, nascente ou mina
Domicílio;Características do Domicílio - Parte 2;V00139;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Utiliza carro-pipa
Domicílio;Características do Domicílio - Parte 2;V00140;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Utiliza água da chuva armazenada
Domicílio;Características do Domicílio - Parte 2;V00141;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Utiliza rios, açudes, córregos, lagos e igarapés
Domicílio;Características do Domicílio - Parte 2;V00142;Domicílios Particulares Permanentes Ocupados, Tipo de espécie é apartamento, Utiliza outra forma de abastecimento de água
Domicílio;Características do Domicílio - Parte 2;V00143;Domicílios Particulares Permanentes Ocupados, Utiliza rede geral de distribuição, Cor ou raça da pessoa responsável pelo domicílio é branca
Domicílio;Características do Domicílio - Parte 2;V00144;Domicílios Particulares Permanentes Ocupados, Utiliza rede geral de distribuição, Cor ou raça da pessoa responsável pelo domicílio é preta
Domicílio;Características do Domicílio - Parte 2;V00145;Domicílios Particulares Permanentes Ocupados, Utiliza rede geral de distribuição, Cor ou raça da pessoa responsável pelo domicílio é amarela
Domicílio;Características do Domicílio - Parte 2;V00146;Domicílios Particulares Permanentes Ocupados, Utiliza rede geral de distribuição, Cor ou raça da pessoa responsável pelo domicílio é parda
Domicílio;Características do Domicílio - Parte 2;V00147;Domicílios Particulares Permanentes Ocupados, Utiliza rede geral de distribuição, Cor ou raça da pessoa responsável pelo domicílio é indígena
Domicílio;Características do Domicílio - Parte 2;V00148;Domicílios Particulares Permanentes Ocupados, Utiliza poço profundo ou artesiano, Cor ou raça da pessoa responsável pelo domicílio é branca
Domicílio;Características do Domicílio - Parte 2;V00149;Domicílios Particulares Permanentes Ocupados, Utiliza poço profundo ou artesiano, Cor ou raça da pessoa responsável pelo domicílio é preta
Domicílio;Características do Domicílio - Parte 2;V00150;Domicílios Particulares Permanentes Ocupados, Utiliza poço profundo ou artesiano, Cor ou raça da pessoa responsável pelo domicílio é amarela
Domicílio;Características do Domicílio - Parte 2;V00151;Domicílios Particulares Permanentes Ocupados, Utiliza poço profundo ou artesiano, Cor ou raça da pessoa responsável pelo domicílio é parda
Domicílio;Características do Domicílio - Parte 2;V00152;Domicílios Particulares Permanentes Ocupados, Utiliza poço profundo ou artesiano, Cor ou raça da pessoa responsável pelo domicílio é indígena
Domicílio;Características do Domicílio - Parte 2;V00153;Domicílios Particulares Permanentes Ocupados, Utiliza poço raso, freático ou cacimba, Cor ou raça da pessoa responsável pelo domicílio é branca
Domicílio;Características do Domicílio - Parte 2;V00154;Domicílios Particulares Permanentes Ocupados, Utiliza poço raso, freático ou cacimba, Cor ou raça da pessoa responsável pelo domicílio é preta
Domicílio;Características do Domicílio - Parte 2;V00155;Domicílios Particulares Permanentes Ocupados, Utiliza poço raso, freático ou cacimba, Cor ou raça da pessoa responsável pelo domicílio é amarela
Domicílio;Características do Domicílio - Parte 2;V00156;Domicílios Particulares Permanentes Ocupados, Utiliza poço raso, freático ou cacimba, Cor ou raça da pessoa responsável pelo domicílio é parda
Domicílio;Características do Domicílio - Parte 2;V00157;Domicílios Particulares Permanentes Ocupados, Utiliza poço raso, freático ou cacimba, Cor ou raça da pessoa responsável pelo domicílio é indígena
Domicílio;Características do Domicílio - Parte 2;V00158;Domicílios Particulares Permanentes Ocupados, Utiliza fonte, nascente ou mina, Cor ou raça da pessoa responsável pelo domicílio é branca
Domicílio;Características do Domicílio - Parte 2;V00159;Domicílios Particulares Permanentes Ocupados, Utiliza fonte, nascente ou mina, Cor ou raça da pessoa responsável pelo domicílio é preta
Domicílio;Características do Domicílio - Parte 2;V00160;Domicílios Particulares Permanentes Ocupados, Utiliza fonte, nascente ou mina, Cor ou raça da pessoa responsável pelo domicílio é amarela
Domicílio;Características do Domicílio - Parte 2;V00161;Domicílios Particulares Permanentes Ocupados, Utiliza fonte, nascente ou mina, Cor ou raça da pessoa responsável pelo domicílio é parda
Domicílio;Características do Domicílio - Parte 2;V00162;Domicílios Particulares Permanentes Ocupados, Utiliza fonte, nascente ou mina, Cor ou raça da pessoa responsável pelo domicílio é indígena
Domicílio;Características do Domicílio - Parte 2;V00163;Domicílios Particulares Permanentes Ocupados, Utiliza carro-pipa, Cor ou raça da pessoa responsável pelo domicílio é branca
Domicílio;Características do Domicílio - Parte 2;V00164;Domicílios Particulares Permanentes Ocupados, Utiliza carro-pipa, Cor ou raça da pessoa responsável pelo domicílio é preta
Domicílio;Características do Domicílio - Parte 2;V00165;Domicílios Particulares Permanentes Ocupados, Utiliza carro-pipa, Cor ou raça da pessoa responsável pelo domicílio é amarela
Domicílio;Características do Domicílio - Parte 2;V00166;Domicílios Particulares Permanentes Ocupados, Utiliza carro-pipa, Cor ou raça da pessoa responsável pelo domicílio é parda
Domicílio;Características do Domicílio - Parte 2;V00167;Domicílios Particulares Permanentes Ocupados, Utiliza carro-pipa, Cor ou raça da pessoa responsável pelo domicílio é indígena
Domicílio;Características do Domicílio - Parte 2;V00168;Domicílios Particulares Permanentes Ocupados, Utiliza água da chuva armazenada, Cor ou raça da pessoa responsável pelo domicílio é branca
Domicílio;Características do Domicílio - Parte 2;V00169;Domicílios Particulares Permanentes Ocupados, Utiliza água da chuva armazenada, Cor ou raça da pessoa responsável pelo domicílio é preta
Domicílio;Características do Domicílio - Parte 2;V00170;Domicílios Particulares Permanentes Ocupados, Utiliza água da chuva armazenada, Cor ou raça da pessoa responsável pelo domicílio é amarela
Domicílio;Características do Domicílio - Parte 2;V00171;Domicílios Particulares Permanentes Ocupados, Utiliza água da chuva armazenada, Cor ou raça da pessoa responsável pelo domicílio é parda
Domicílio;Características do Domicílio - Parte 2;V00172;Domicílios Particulares Permanentes Ocupados, Utiliza água da chuva armazenada, Cor ou raça da pessoa responsável pelo domicílio é indígena
Domicílio;Características do Domicílio - Parte 2;V00173;Domicílios Particulares Permanentes Ocupados, Utiliza rios, açudes, córregos, lagos e igarapés, Cor ou raça da pessoa responsável pelo domicílio é branca
Domicílio;Características do Domicílio - Parte 2;V00174;Domicílios Particulares Permanentes Ocupados, Utiliza rios, açudes, córregos, lagos e igarapés, Cor ou raça da pessoa responsável pelo domicílio é preta
Domicílio;Características do Domicílio - Parte 2;V00175;Domicílios Particulares Permanentes Ocupados, Utiliza rios, açudes, córregos, lagos e igarapés, Cor ou raça da pessoa responsável pelo domicílio é amarela
Domicílio;Características do Domicílio - Parte 2;V00176;Domicílios Particulares Permanentes Ocupados, Utiliza rios, açudes, córregos, lagos e igarapés, Cor ou raça da pessoa responsável pelo domicílio é parda
Domicílio;Características do Domicílio - Parte 2;V00177;Domicílios Particulares Permanentes Ocupados, Utiliza rios, açudes, córregos, lagos e igarapés, Cor ou raça da pessoa responsável pelo domicílio é indígena
Domicílio;Características do Domicílio - Parte 2;V00178;Domicílios Particulares Permanentes Ocupados, Utiliza outra forma de abastecimento de água, Cor ou raça da pessoa responsável pelo domicílio é branca
Domicílio;Características do Domicílio - Parte 2;V00179;Domicílios Particulares Permanentes Ocupados, Utiliza outra forma de abastecimento de água, Cor ou raça da pessoa responsável pelo domicílio é preta
Domicílio;Características do Domicílio - Parte 2;V00180;Domicílios Particulares Permanentes Ocupados, Utiliza outra forma de abastecimento de água, Cor ou raça da pessoa responsável pelo domicílio é amarela
Domicílio;Características do Domicílio - Parte 2;V00181;Domicílios Particulares Permanentes Ocupados, Utiliza outra forma de abastecimento de água, Cor ou raça da pessoa responsável pelo domicílio é parda
Domicílio;Características do Domicílio - Parte 2;V00182;Domicílios Particulares Permanentes Ocupados, Utiliza outra forma de abastecimento de água, Cor ou raça da pessoa responsável pelo domicílio é indígena
Domicílio;Características do Domicílio - Parte 2;V00183;Domicílios Particulares Permanentes Ocupados, Utiliza rede geral de distribuição, Sexo da pessoa responsável pelo domicílio é masculino
Domicílio;Características do Domicílio - Parte 2;V00184;Domicílios Particulares Permanentes Ocupados, Utiliza rede geral de distribuição, Sexo da pessoa responsável pelo domicílio é feminino
Domicílio;Características do Domicílio - Parte 2;V00185;Domicílios Particulares Permanentes Ocupados, Utiliza poço profundo ou artesiano, Sexo da pessoa responsável pelo domicílio é masculino
Domicílio;Características do Domicílio - Parte 2;V00186;Domicílios Particulares Permanentes Ocupados, Utiliza poço profundo ou artesiano, Sexo da pessoa responsável pelo domicílio é feminino
Domicílio;Características do Domicílio - Parte 2;V00187;Domicílios Particulares Permanentes Ocupados, Utiliza poço raso, freático ou cacimba, Sexo da pessoa responsável pelo domicílio é masculino
Domicílio;Características do Domicílio - Parte 2;V00188;Domicílios Particulares Permanentes Ocupados, Utiliza poço raso, freático ou cacimba, Sexo da pessoa responsável pelo domicílio é feminino
Domicílio;Características do Domicílio - Parte 2;V00189;Domicílios Particulares Permanentes Ocupados, Utiliza fonte, nascente ou mina, Sexo da pessoa responsável pelo domicílio é masculino
Domicílio;Características do Domicílio - Parte 2;V00190;Domicílios Particulares Permanentes Ocupados, Utiliza fonte, nascente ou mina, Sexo da pessoa responsável pelo domicílio é feminino
